,degree_centrality,degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_ixp_memberships,ixp_vector_norm,avg_ixp_cosine_dist
degree_centrality,1.0,1.0,0.3436099834421769,0.3010507547567869,0.38339032048497534,0.577193586074785,0.3413967127636486,0.36935113354739013,0.3421141392132013,0.03391027104477486,0.7378482017263761,0.10685445887887646,0.16066318930268236,0.12727176808106455
degree,1.0,1.0,0.3596732255322812,0.29996903251559365,0.3814061914526886,0.5827018297928619,0.35274344136603014,0.3939528517930097,0.3711376724926727,0.052893669330451885,0.7635186803592545,0.12849769874682515,0.19267527020723302,0.15696241096093844
betweenness_centrality,0.3436099834421769,0.3596732255322812,1.0,0.2812224399485815,0.25350001744508704,0.3319275645338457,0.16445635583152163,0.2862867205797387,0.12125213193154341,0.036740890053265474,0.3994499561686555,0.023566429910910913,0.09014583321531168,0.04163849850011896
closeness_centrality,0.3010507547567869,0.29996903251559365,0.2812224399485815,1.0,0.5911434153578257,0.4939240180523794,0.16706210227837515,0.543931340276672,0.28025184608352527,0.07684189670961084,0.40164422416160567,0.13620456841887998,0.18417395883614787,0.16455748019209754
eigenvector_centrality,0.38339032048497534,0.3814061914526886,0.25350001744508704,0.5911434153578257,1.0,0.522292828102946,0.1750941485589591,0.5681756089985347,0.25353232550216537,0.08352428967167674,0.39714596938507163,0.06853678470987362,0.12914051061528983,0.16207938447151524
pagerank,0.577193586074785,0.5827018297928619,0.3319275645338457,0.4939240180523794,0.522292828102946,1.0,0.2546232140973934,0.5510367378070852,0.25966291117037027,0.07068044767067866,0.47599383739437495,0.06275271876024832,0.15194335945191345,0.13984641596193853
local_clustering,0.3413967127636486,0.35274344136603014,0.16445635583152163,0.16706210227837515,0.1750941485589591,0.2546232140973934,1.0,0.19707627288089036,0.6033137612755486,0.020598714655701983,0.3732184988920464,0.11109300490184473,0.166785483054388,0.1236630846309063
avg_neighbor_degree,0.36935113354739013,0.3939528517930097,0.2862867205797387,0.543931340276672,0.5681756089985347,0.5510367378070852,0.19707627288089036,1.0,0.2639756651619448,0.07837461969150711,0.4117567641579578,0.12340555650111507,0.17878257685378857,0.15700777294548077
node_clique_number,0.3421141392132013,0.3711376724926727,0.12125213193154341,0.28025184608352527,0.25353232550216537,0.25966291117037027,0.6033137612755486,0.2639756651619448,1.0,0.03978642849823388,0.48339941579137424,0.3099688170252854,0.29529480799989843,0.23437809127501832
eccentricity,0.03391027104477486,0.052893669330451885,0.036740890053265474,0.07684189670961084,0.08352428967167674,0.07068044767067866,0.020598714655701983,0.07837461969150711,0.03978642849823388,1.0,0.022755797846817742,0.0,0.0462158239863692,0.03910498232557855
core_number,0.7378482017263761,0.7635186803592545,0.3994499561686555,0.40164422416160567,0.39714596938507163,0.47599383739437495,0.3732184988920464,0.4117567641579578,0.48339941579137424,0.022755797846817742,1.0,0.21948813353844465,0.2906331514281274,0.2636487024077041
n_ixp_memberships,0.10685445887887646,0.12849769874682515,0.023566429910910913,0.13620456841887998,0.06853678470987362,0.06275271876024832,0.11109300490184473,0.12340555650111507,0.3099688170252854,0.0,0.21948813353844465,1.0,0.26783236046468817,0.19224736006632429
ixp_vector_norm,0.16066318930268236,0.19267527020723302,0.09014583321531168,0.18417395883614787,0.12914051061528983,0.15194335945191345,0.166785483054388,0.17878257685378857,0.29529480799989843,0.0462158239863692,0.2906331514281274,0.26783236046468817,1.0,0.4837931868566205
avg_ixp_cosine_dist,0.12727176808106455,0.15696241096093844,0.04163849850011896,0.16455748019209754,0.16207938447151524,0.13984641596193853,0.1236630846309063,0.15700777294548077,0.23437809127501832,0.03910498232557855,0.2636487024077041,0.19224736006632429,0.4837931868566205,1.0
