Feature,Max_Pearson,Max_Spearman,Max_dCor,Max_NMI,VIF,Cluster_Size,mRMR_Excluded_Target,mRMR_Rank,mRMR_Selected,N_Flags
avg_edge_ixp_cosine_dist,0.9855743882122665,0.9486832980505138,0.9891890616218186,1.0,,33,False,,False,6
assortativity,0.987322346752519,1.0,0.9898177925158868,1.0,,33,False,,False,6
clustering_global,0.9855743882122665,1.0,0.9891890616218186,1.0,,33,False,,False,6
density,0.987322346752519,1.0,0.9898177925158868,1.0,,33,False,,False,6
spectral_radius,0.9999998679510361,1.0,0.999999920246162,1.0,,33,False,,False,6
algebraic_connectivity,0.9995015620410359,1.0,0.9997428895079695,1.0,,33,False,8.0,True,5
clustering_avg_local,0.9943792360028376,1.0,0.9963752968827294,0.5,,8,False,,False,5
core_mean,0.9971970475661763,1.0,0.9984594492109438,1.0,,33,False,18.0,True,5
ego_valley_free_violation_rate,0.9801551339427309,1.0,0.9924557468998723,0.0,,8,False,,False,5
ego_transit_violations,0.99961196832946,1.0,0.9995848097747572,0.0,,2,False,,False,5
ego_edges,1.0,1.0,1.0,1.0,,33,False,4.0,True,5
ego_nodes,1.0,1.0,1.0,0.0,,33,False,,False,5
ego_avg_violation_depth,0.9592407384325905,0.9486832980505138,0.9853778730960104,0.5,,2,False,,False,5
adj_eig_ratio_1_2,0.9965683447014951,1.0,0.9972268756732183,0.0,,8,False,,False,5
symmetry_ratio,0.9999999999999998,1.0,1.000000000000795,1.0,,33,False,11.0,True,5
vf_rate_delta,0.9819307867030874,1.0,0.9906931883095272,0.0,,8,False,,False,5
spectral_gap,0.9965683447014951,1.0,0.9972268756732183,0.0,,8,False,,False,5
natural_connectivity,0.9977922265937538,1.0,0.9976211017199293,1.0,,33,False,23.0,True,5
percolation_limit,0.9999998679510361,1.0,0.999999920246162,0.0,,33,False,,False,5
std_edge_ixp_cosine_dist,0.9943792360028376,0.9486832980505138,0.9963752968827294,0.0,,8,False,,False,5
kirchhoff_index,0.9324962160588816,0.9486832980505138,0.9509892604767102,0.0,,2,False,,False,5
ego_transit_vf_rate,0.99961196832946,1.0,0.9995848097747572,0.0,,2,False,,False,5
n_edges_full,0.9092326794035418,1.0,0.9353791428329251,0.0,,8,False,,False,5
n_edges,1.0,1.0,1.0,1.0,,33,False,5.0,True,5
lcc_fraction,0.9998004504216099,0.9486832980505138,0.999753335874656,0.0,,33,False,,False,5
log_spanning_trees,0.9969889890707174,1.0,0.9983884534730082,1.0,,33,False,6.0,True,5
n_edges_with_ixp_data,1.0000000000000047,1.0,1.000000000000795,1.0,,33,False,12.0,True,5
n_nodes,1.0,1.0,1.0,0.0,,33,False,,False,5
n_edges_missing_ixp_data,0.9997153227470617,1.0,0.9997920805991106,1.0,,33,False,3.0,True,5
ego_vf_paths_frac,0.9460509389240017,1.0,0.9518260608777165,0.0,,33,False,,False,5
rich_club_p90,0.9999999999999999,1.0,1.0000000000004416,1.0,,33,False,13.0,True,5
betweenness_mean,0.9888787315212763,1.0,0.9898702046656004,0.0,,33,False,19.0,True,4
core_std,0.9888787315212763,1.0,0.9898702046656004,0.0,,33,False,20.0,True,4
betweenness_std,0.9923779696078241,1.0,0.994190046875804,0.0,,33,False,1.0,True,4
avg_path_length,0.9911543604438199,1.0,0.9957539229984519,0.0,,33,False,21.0,True,4
betweenness_max,0.9906507539753626,1.0,0.9898317628322858,0.0,,33,False,22.0,True,4
betweenness_skewness,0.9633610911304612,1.0,0.9793162234205164,0.0,,33,False,7.0,True,4
ego_valley_free_paths_total,0.999999255510707,1.0,0.9999993876615285,0.0,,33,False,16.0,True,4
rich_club_p95,0.9999999999999998,1.0,1.000000000000199,0.0,,33,False,10.0,True,4
median_edge_ixp_cosine_dist,1.0000000000000047,1.0,1.000000000000069,0.0,,33,False,9.0,True,4
ego_valley_free_paths_checked,0.999999255510707,1.0,0.9999993876615285,0.0,,33,False,17.0,True,4
rich_club_p25,0.9959012503333967,0.9486832980505138,0.9976226105497967,0.0,,33,False,2.0,True,4
rich_club_p75,1.0000000000000009,1.0,1.0000000000001388,0.0,,33,False,15.0,True,4
rich_club_p50,1.0000000000000009,1.0,1.0000000000001388,0.0,,33,False,14.0,True,4
ego_valley_free_violations,0.9819307867030874,0.8,0.9924557468998723,0.0,,1,False,,False,3
n_nodes_full,0.876336066485403,1.0,0.8466780981690375,0.0,,8,False,,False,3
